Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Agriculture forestry and fishing,54667.9,54356.7,53949.2,53149.4,54274.5,54179.8,55061.4,54155.4,54107.6,53992.6,51462.8,49189.9,48911.3,49804.2,49742.7,49531.4,48193.6,47558.1,46355.3,46029.8,46448.9,46473.7,46329.2,45966.7,48025.5,48002.3,48165.6,48767.4,48200.5,48585.6
Mining and quarrying,46561.7,47082,47618.5,47244.1,42960.3,44199.1,45485.6,44823.7,43633,40689.7,39032.7,38509.3,38571.3,35029.2,33722.1,31751.9,29213.8,28287.2,27444.6,27056.1,26790.9,24307.8,22873.8,21461.9,21464,22738.1,21603,21955.5,21801.2,21785.5
Manufacturing,180059.7,181189.9,174062,168507.4,170908.6,168563.4,170097.7,169742.9,159886.5,143701.7,138239.5,131710,123416.2,126182.3,124770.1,124155.1,119822.2,119499.9,111241.8,94184.4,97467.1,93253.2,89743.9,92287.6,91811.1,88940,84541.4,85654.3,84381.3,83654.7
Electricity gas steam and air conditioning supply,217166.6,213890.9,201849.5,184355.7,180890.8,178960.5,178659.8,163535.1,168957.6,161175,172911,184111.3,179276.2,189377.9,189150.3,190821.1,198840.5,194310.6,189670.1,168059.5,175315.3,162382.6,176815.3,167750.5,146464.3,130386,108832,98661.6,94407.5,88395.1
Water supply sewerage waste management and remediation activities,67600.2,69114.7,69347.9,69583.6,69818.8,70688.7,71224.8,70118.4,71276.3,66778.7,64615.3,62563.6,61175.9,57396.8,53415.5,51467.9,48315.7,45255.5,40245.5,36407.7,32184.9,30374.3,29224.8,26770.2,25121.2,25071,25013.9,25984,26294.8,26210.8
Construction,9499,9476,9590.9,9737.5,10194.3,10333.2,10638.6,10924,11200.7,11473,11688.8,12024.6,12107.1,12363.6,12941.3,12999.2,13268.2,13660.8,13851.9,12279.4,12375.5,11759.1,12378.6,11607.7,12060.5,13075.2,13549.2,14051.8,14239.4,13827.1
Wholesale and retail trade repair of motor vehicles and motorcycles,11683,12069.7,11890.2,12145.5,12536.3,12727.6,13050.2,12955.8,13365.6,13913.9,14209.4,14096.9,13817.9,14381.6,14608.8,14884.8,15151.7,15806.6,16461.8,16623,17163.2,16897.4,17223.8,16953.8,16816.8,17012.6,17305.2,16918.8,16522.5,16056
Transport and storage,65461.7,65977.1,67046.8,68347.1,69241.2,72017.9,77623.2,78864.4,82104.7,82006.6,84206.4,87565,88850.5,90906.6,96216.8,99235.5,91472,92502.8,90803.2,83685.1,84027.2,86620.3,81128.6,78381.8,81760.9,83824.2,84607.2,80967.2,87112,79546.2
Accommodation and food services,2776.2,3229.6,3027.2,3219,3206.1,3328.8,3544.1,3181.3,3406.1,3626,3721.8,3755.8,3240.9,3476.8,3417.1,3465.1,3243.4,3196.7,3921.8,3239.7,3516.2,3190.8,3581.4,3668.1,3262.9,3503,3609.2,3581.4,3626.6,3595.7
Information and communication,1081.7,1162.6,1142.2,1191.2,1233.7,1275.3,1288.4,1229.8,1255.9,1316.6,1324.5,1268,1152.9,1170.1,1131.7,1128.1,1070,1065.9,1149.3,980,1012.3,960.3,978.6,938.1,892.6,906.2,926.7,887.8,856.3,844.3
Financial and insurance activities,319.4,352.7,334.3,350.2,346.6,353.5,359.8,322.2,329.4,346.6,347,344.2,302.9,318.6,309.7,304.2,288.5,290.3,329,277.8,292.2,277.1,296,291.7,268.5,273.6,278,267.6,262.7,260.3
Real estate activities,634.7,712.6,686.9,725.9,745.7,777.7,811.1,761.3,809.3,867.2,891.3,887.8,803.3,863.5,862.8,882.4,856.8,860.5,1037.2,884.6,954.8,883.8,984.7,1001.4,906.1,963.9,994.8,977,983.9,979.9
Professional scientific and technical activities,2468.4,2680.2,2602.8,2498.9,2555.4,2638.5,2666.1,2489.4,2556.3,2688.6,2705.2,2587,2298.8,2350.5,2270.7,2243.5,2130.4,2115.3,2386.4,1981.2,2073.8,1967.3,2095.9,2020.7,1874.8,1942.3,1991.2,1917.9,1883.1,1861.3
Administrative and support service activities,2651.2,2801,2782.2,2878.9,2980.9,3049.9,3132.1,3073.4,3141.5,3240,3271.3,3220.9,3062.6,3160.6,3155.5,3268.6,3276.7,3334.6,3484.8,3108.6,3214,3119.6,3230.3,3205.6,3170.2,3292.9,3431.4,3404.3,3394.4,3363.5
Public administration and defence compulsory social security,11052.7,10359,10504.4,10722.7,10068,10165.2,10020.3,9630.9,9257.7,9451.7,9307.5,9264.6,8909.8,9258.7,9396,8068.6,8176.8,8179.4,7637.9,6951.6,6923.8,6337.5,6283.1,5752.5,5149.5,4827.3,4719.6,4711,4898,4765.1
Education,5499.6,5827.4,5970.6,5072.5,4534.3,4266.5,5338.7,5998.3,5276.7,5014.2,4667.9,4322.2,3709.5,3745.5,3721.8,3676.4,3892,3558.2,3379.7,3184.8,3406,2809.4,3118.6,3050.1,2651.3,2796.6,2747.5,2808,2848.9,2565.2
Human health and social work activities,5756.9,6081.8,6443.9,6126.7,6197.4,6136.5,6632.5,5834.9,5932.9,5538.6,4934.3,5271.2,4265.2,3885.1,4507,5526.6,4727.3,4731.7,5241.6,5176.2,5509,5012.5,5566.8,6054,5452,5436.8,5650.8,5452.7,5952.4,5469.2
Arts entertainment and recreation,2324.9,2386.7,2031.1,2191.2,2133.4,1975.2,2088.9,1803.1,1905.6,1636.3,1608.4,1635,1387.6,1406.1,1371.8,1444.4,1208.3,1142.2,1280.4,1195.2,1101.7,1020.2,1074.9,1072.1,992.1,1037.1,1061,1050.9,1057.2,1049.9
Other service activities,1056.4,1161.8,1130,1184.9,1184.8,1215.1,1278.3,1183.3,1227.9,1264,1291.7,1256,1110.6,1147.9,1110.6,1140.2,1079.6,999.6,1164.5,987,998.8,914.9,979.8,989.5,908.7,959.5,987.5,974,982.8,972.9
Activities of households as employers undifferentiated goods and services-producing activities of households for own use,58.1,58.5,59.9,61.2,64.5,66.6,64.9,65.6,62.3,63.6,76,71.4,71.6,71.5,71.3,73.9,63.1,52.6,51.1,40.8,54.5,53.6,51.5,48,51.1,48.2,55.8,50.5,50.7,46.8
Consumer expenditure,142316.6,150965.6,149142.6,154158.6,149261.7,144160.5,159758.6,153633.6,155851.2,157177.7,157589.2,161550.5,160471.3,160827.5,163576.1,159865,157396.9,154285.7,155227.1,151281.5,160476.1,141389.5,149527.7,151939.1,139214.8,143332.5,145905.7,144353.3,148814.4,147687.9